source_id,source_path,source_type,owner,description,inspection_status,authoritative_for,checksum,notes
kei_risk_gene_csv,risk_genes_housekeeping_revised.csv,gene_list,Hasegawa Kei,"Master Risk gene CSV.",audited,"Kei Risk axes and gene counts; pending scoring-script verification",27022bc5104f25ae861660389b871408d9a1e4653eb3969b7a995496c93ecee4,"Columns are Dedifferentiation, Inflam, Tumor; contract maps Tumor to genomic-stress-associated pending owner confirmation."
mashiro_risk_png,animal_risk_summaries mashiro.png,preliminary_visual,Mashiro Yasuda,"Preliminary animal-level Risk summary visual.",metadata_only_no_ocr,"Mashiro preliminary descriptive Risk directions only",9c13cee1cff148fbaffe669b9bbf72c13795fabb7484e53a352a4e6f4be84d23,"No numeric values were inferred from image."
comparison_readme,model_comparison_v1_1_v2_1/README.md,README,"Kaile Zhu and Zihan Zhou","Formal frozen-model comparison package README.",inspected,"Comparison scope and interpretation boundary",249116ab26466d6244226ef433c4d5cbf9423cc144a1afd316e72087ff84853c,"No model was retrained or modified."
comparison_combined_report,model_comparison_v1_1_v2_1/FACS_and_Droplet_v1_1_vs_v2_1_combined_comparison_report.md,comparison_report,"Kaile Zhu and Zihan Zhou","Formal combined FACS and local Droplet comparison.",inspected,"Official comparison provenance; donor scope; limits; conclusion",fc971a1863923bab009a48b8c32a445c7725e7411b0cefe82e868983ab72cb64,"Primary source for comparison result."
comparison_internal_summary,model_comparison_v1_1_v2_1/internal_validation_summary.csv,result_csv,"Kaile Zhu and Zihan Zhou","Internal validation summary for both frozen models.",inspected,"Comparable internal validation context",44d36b18b5e904fbcd097b30f2c4fda758407f285dddbca1f9f377dd9401203d,"Not full-data same-input validation."
comparison_concordance,model_comparison_v1_1_v2_1/model_concordance_decomposition.csv,result_csv,"Kaile Zhu and Zihan Zhou","Age-stratified and residualized concordance decomposition.",inspected,"Concordance interpretation",d0c39cf2ee264f6a2bb75635cc02581edda2085a631c1089fae5b63c7f5d90a7,"Shared Young-Old separation can contribute to concordance."
comparison_bootstrap_summary,model_comparison_v1_1_v2_1/paired_donor_bootstrap_summary.csv,result_csv,"Kaile Zhu and Zihan Zhou","Paired donor bootstrap metric summary.",inspected,"Uncertainty around model difference metrics",b9d9c627dcc71512e82edc5816626644f3a3bad9ee84d5691a81cbc2ad08dc6f,"Formal metrics use this summary."
comparison_bootstrap_raw,model_comparison_v1_1_v2_1/paired_donor_bootstrap_raw_iterations.csv,result_csv,"Kaile Zhu and Zihan Zhou","Raw paired donor bootstrap iterations.",registered_checksum_only,"Existence and checksum",db7cc4d952d4a6c77795b1a3ba1e1e127a981c9cc122eddf8006c9a15712a01f,"No reanalysis performed; summary CSV is formal metric source."
gse_two_youth_followup,GSE176206_youth_score_biology_followup_report.md,followup_report,"Kaile Zhu and Zihan Zhou","Two frozen Youth models GSE176206 biology follow-up.",inspected,"Separate model response direction; state/remodeling boundary",9832ae8e5e8ce241a5cd857ea73c285cc6e387261fc8cf08dd3bde47062b20b4,"Raw supporting output tables/scripts are not present locally."
geneformer_axis_update,axis_validation_update.md,diagnostic_memo,Jia Qi Choy,"Original Geneformer axis diagnosis.",inspected,"Raw axis diagnostic and interpretation",dd061cffe073573a553b277825d606e87fc10a5f8baa46ea280ae029be848549,"Age and transcript complexity are inseparable in this cohort."
geneformer_axis_length_pdf,axis_length_report.pdf,report_pdf,Jia Qi Choy,"Fixed-token-length follow-up report.",missing,"Reported fixed-length evidence pending local artifact",TBD,"Expected source file was not found locally; no text extraction was possible."
technical_feedback,feedback.md,technical_feedback,Chew,"Technical feedback including fixed-length and donor-pseudobulk follow-up requests.",inspected,"Follow-up rationale and acceptance criterion",53275e914e5b8e8a2293c7daedac7691685ed22a0185996a79c3bdbeb0a05db2,"Not a replacement for Jia Qi raw artifacts."
